KAN_U

 ======== test get_l2 ========= 

2026-02-10 16:02:12,896; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-15 00:00:00 2016-11-18 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,899; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-15 00:00:00 2016-11-18 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,902; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-15 00:00:00 2016-11-18 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,905; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-15 00:00:00 2016-11-18 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,908; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-18 00:00:00 2017-09-20 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,911; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-18 00:00:00 2017-09-20 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,914; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-18 00:00:00 2017-09-20 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,917; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-18 00:00:00 2017-09-20 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,921; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-14 00:00:00 2017-11-20 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,924; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-14 00:00:00 2017-11-20 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,927; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-14 00:00:00 2017-11-20 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,930; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-14 00:00:00 2017-11-20 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,933; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-13 00:00:00 2017-12-15 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,936; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-13 00:00:00 2017-12-15 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,939; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-13 00:00:00 2017-12-15 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,942; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-13 00:00:00 2017-12-15 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,946; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-03-06 00:00:00 2018-03-11 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,949; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-03-06 00:00:00 2018-03-11 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,952; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-03-06 00:00:00 2018-03-11 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,955; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-03-06 00:00:00 2018-03-11 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,958; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-12-04 00:00:00 2019-12-06 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,961; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-12-04 00:00:00 2019-12-06 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,964; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-12-04 00:00:00 2019-12-06 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,967; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-12-04 00:00:00 2019-12-06 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,971; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-12-09 00:00:00 2019-12-12 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,974; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-12-09 00:00:00 2019-12-12 00:00:00 ulr with RIME, flagged 0/14661
