THU_U2

 ======== test get_l2 ========= 

2026-02-10 16:48:11,025; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-11-23 00:00:00 2020-12-10 00:00:00 ulr with RIME, flagged 2449/275025
2026-02-10 16:48:11,030; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-11-23 00:00:00 2020-12-10 00:00:00 dsr with RIME, flagged 2449/275025
2026-02-10 16:48:11,034; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-11-23 00:00:00 2020-12-10 00:00:00 usr with RIME, flagged 2449/275025
2026-02-10 16:48:11,039; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-12-25 00:00:00 2020-12-28 00:00:00 dlr with RIME, flagged 433/275025
2026-02-10 16:48:11,043; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-12-25 00:00:00 2020-12-28 00:00:00 ulr with RIME, flagged 433/275025
2026-02-10 16:48:11,047; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-12-25 00:00:00 2020-12-28 00:00:00 dsr with RIME, flagged 433/275025
2026-02-10 16:48:11,052; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-12-25 00:00:00 2020-12-28 00:00:00 usr with RIME, flagged 433/275025
2026-02-10 16:48:11,057; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-12 00:00:00 2021-04-14 00:00:00 dlr with RIME, flagged 289/275025
2026-02-10 16:48:11,061; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-12 00:00:00 2021-04-14 00:00:00 ulr with RIME, flagged 289/275025
2026-02-10 16:48:11,065; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-12 00:00:00 2021-04-14 00:00:00 dsr with RIME, flagged 289/275025
2026-02-10 16:48:11,069; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-12 00:00:00 2021-04-14 00:00:00 usr with RIME, flagged 289/275025
2026-02-10 16:48:11,074; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-05 00:00:00 2021-09-07 00:00:00 dlr with RIME, flagged 289/275025
2026-02-10 16:48:11,078; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-05 00:00:00 2021-09-07 00:00:00 ulr with RIME, flagged 289/275025
2026-02-10 16:48:11,082; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-05 00:00:00 2021-09-07 00:00:00 dsr with RIME, flagged 289/275025
2026-02-10 16:48:11,086; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-05 00:00:00 2021-09-07 00:00:00 usr with RIME, flagged 289/275025
