SCO_Lv3

 ======== test get_l2 ========= 

2026-02-10 16:36:59,423; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/SCO_Lv3.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:37:35,756; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/SCO_Lv3/SCO_Lv3_hour.csv
2026-02-10 16:37:35,756; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/SCO_Lv3/SCO_Lv3_hour.nc
2026-02-10 16:37:35,756; INFO; pypromice.pipeline.join_l2; Files saved to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/SCO_Lv3...

 ======== test l2tol3 ========= 

2026-02-10 16:37:35,885; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2026-02-10 16:37:37,276; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2026-02-10 16:37:37,280; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2026-02-10 16:37:37,283; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2026-02-10 16:37:37,304; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SCO_Lv3.csv
2026-02-10 16:37:37,319; INFO; pypromice.pipeline.L2toL3; Combining surface height
2026-02-10 16:37:37,319; INFO; pypromice.pipeline.L2toL3; -> ablation site
2026-02-10 16:37:37,384; DEBUG; pypromice.pipeline.L2toL3; -> estimating ablation period for each year
2026-02-10 16:37:37,385; DEBUG; pypromice.pipeline.L2toL3; 2024 derived from z_ice_surf
2026-02-10 16:37:37,386; DEBUG; pypromice.pipeline.L2toL3; 2025 derived from z_ice_surf
2026-02-10 16:37:37,388; DEBUG; pypromice.pipeline.L2toL3; 2026 no z_ice_surf, just using JJA
2026-02-10 16:37:37,388; DEBUG; pypromice.pipeline.L2toL3; 2026 could not estimate ablation season
2026-02-10 16:37:37,388; DEBUG; pypromice.pipeline.L2toL3; 2024: Ablation from 2024-08-15 18:00:00 to 2024-09-30 23:00:00
2026-02-10 16:37:37,394; DEBUG; pypromice.pipeline.L2toL3; adjusting z to hs1
2026-02-10 16:37:37,395; DEBUG; pypromice.pipeline.L2toL3; adjusting hs2 to z
2026-02-10 16:37:37,395; DEBUG; pypromice.pipeline.L2toL3; using end of melt season
2026-02-10 16:37:37,397; DEBUG; pypromice.pipeline.L2toL3; adjusting hs1
2026-02-10 16:37:37,397; DEBUG; pypromice.pipeline.L2toL3; to hs2, minimizing winter difference
2026-02-10 16:37:37,398; DEBUG; pypromice.pipeline.L2toL3; 2025: Ablation from 2025-06-04 17:00:00 to 2025-09-08 05:00:00
2026-02-10 16:37:37,404; DEBUG; pypromice.pipeline.L2toL3; adjusting hs2 to z
2026-02-10 16:37:37,405; DEBUG; pypromice.pipeline.L2toL3; using end of melt season
2026-02-10 16:37:37,407; DEBUG; pypromice.pipeline.L2toL3; adjusting hs1
2026-02-10 16:37:37,407; DEBUG; pypromice.pipeline.L2toL3; to hs2, minimizing winter difference
2026-02-10 16:37:37,408; DEBUG; pypromice.pipeline.L2toL3; 2026: Ablation from 2025-12-31 00:00:00 to 2025-12-31 00:00:00
2026-02-10 16:37:37,423; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2026-02-10 16:37:37,457; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2026-02-10 16:37:37,463; INFO; pypromice.pipeline.L2toL3; No maintenance at SCO_Lv3
2026-02-10 16:37:37,471; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2026-02-10 16:37:37,933; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:37:38,081; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:37:38,199; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:37:40,218; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SCO_Lv3/SCO_Lv3_hour.csv
2026-02-10 16:37:40,218; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SCO_Lv3/SCO_Lv3_hour.nc
2026-02-10 16:37:40,226; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:37:40,291; INFO; pypromice.io.write; Resampling to 1D
2026-02-10 16:37:40,425; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:37:40,869; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SCO_Lv3/SCO_Lv3_day.csv
2026-02-10 16:37:40,870; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SCO_Lv3/SCO_Lv3_day.nc
2026-02-10 16:37:40,873; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:37:40,932; INFO; pypromice.io.write; Resampling to MS
2026-02-10 16:37:41,063; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:37:41,542; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SCO_Lv3/SCO_Lv3_month.csv
2026-02-10 16:37:41,543; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SCO_Lv3/SCO_Lv3_month.nc
