SCO_U

 ======== test get_l2 ========= 

2026-02-10 16:36:59,423; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/SCO_U.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:37:04,007; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u min_filter 1.8 flagged 0/9378
2026-02-10 16:37:04,008; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2026-02-10 16:37:04,009; INFO; pypromice.core.qc.github_data_issues; ---> 2011-07-01 00:00:00 2012-06-01 00:00:00 z_stake_cor max_filter 2.02
2026-02-10 16:37:04,009; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:37:04,010; INFO; pypromice.core.qc.github_data_issues; ---> 2011-10-01 00:00:00 2012-06-01 00:00:00 z_stake_cor min_filter 1.91
2026-02-10 16:37:04,010; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:37:04,010; INFO; pypromice.core.qc.github_data_issues; ---> 2020-12-13 00:00:00 2021-07-18 00:00:00 z_stake_cor max_filter 2.33
2026-02-10 16:37:04,010; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:37:04,011; INFO; pypromice.core.qc.github_data_issues; ---> 2021-07-18 00:00:00 2022-06-22 00:00:00 z_stake_cor min_filter 2.6
2026-02-10 16:37:04,011; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:37:04,011; INFO; pypromice.core.qc.github_data_issues; ---> 2021-07-29 00:00:00 2022-06-22 00:00:00 z_stake_cor max_filter 4.0
2026-02-10 16:37:04,011; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:37:04,011; INFO; pypromice.core.qc.github_data_issues; ---> 2021-07-30 00:00:00 2022-06-22 00:00:00 z_stake_cor min_filter 2.84
2026-02-10 16:37:04,011; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:37:04,012; INFO; pypromice.core.qc.github_data_issues; ---> 2021-08-22 00:00:00 2022-06-22 00:00:00 z_stake_cor min_filter 3.24
2026-02-10 16:37:04,012; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:37:04,012; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2026-02-10 16:37:04,926; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:37:05,792; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:37:05,879; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:37:07,248; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/SCO_U/SCO_U_hour.csv
2026-02-10 16:37:07,248; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/SCO_U/SCO_U_hour.nc
2026-02-10 16:37:07,248; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//raw/config/SCO_U.toml, inpath=../aws-l0//raw/SCO_U/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:37:07,291; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'SCO_U.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:37:07,305; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2010_1_raw.txt
2026-02-10 16:37:07,891; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2010_1_raw.txt
2026-02-10 16:37:08,326; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2010_2_raw.txt
2026-02-10 16:37:08,357; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2010_2_raw.txt
2026-02-10 16:37:08,434; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2010_2_raw.txt
2026-02-10 16:37:08,441; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2012_raw.txt
